grid,lat,lng,pano,file,ssd,official,group
3,41.191464704146455,-6.501396641272054,UZZJ1CAZVg97GK1FZ4m-3w,grid3_img1.jpg,2.4128233707483906,1,validation
3,41.07869846758975,-6.1092932544387475,4JZsMwNGj2n0jOdnyA8ehQ,grid3_img2.jpg,1.7145724018102866,1,test
3,41.409720780604964,-6.144616128149883,J2Rv7H5237m-LQLlobh9WA,grid3_img3.jpg,1.3308290051772025,1,train
3,40.65180443066564,-6.456966119161552,xBWuycQE4YEDh1ManwW8yw,grid3_img4.jpg,0.9633783391256424,1,train
3,40.25732983715,-6.402230008703383,uNvN367WDW5sHoENy6cytw,grid3_img5.jpg,0.9615911961261832,1,test
3,40.038630380602214,-6.628867580605906,mvt27W7A7BT9WSsOWbShmQ,grid3_img6.jpg,0.9424458929685156,1,test
3,40.94036048578851,-6.523071336394649,48TM2FjPP395h6Fu-6MXWw,grid3_img7.jpg,0.8452301171835459,1,train
3,40.03529210471503,-6.009195931255817,CAoSK0FGMVFpcFBPQ3lqRHQ4bS1tTm9tVUlmNnFMQTBEdE5Wc3pmd3JGU3o2aHc.,grid3_img8.jpg,28.011477048335824,0,train
3,40.04098179442021,-6.4677204856990445,InYJHPM0YzfaidsaCF4ihA,grid3_img9.jpg,1.0883850459660285,1,train
3,40.145064044503954,-6.698729753576357,_cwiw8gJPvMA1B7wz4F9XA,grid3_img10.jpg,1.3662023405340558,1,test
3,41.30305888053733,-6.234616443982217,CHTJCqCQEIuwvlILsu7LZA,grid3_img11.jpg,0.8559699985368547,1,train
3,41.10770840152692,-6.106103869403159,dhTm3D9jypJe75ahabz4lg,grid3_img12.jpg,0.8269341090642733,1,test
3,40.07460469567329,-6.645344823221457,TX7BQgP-QBCIklghj8cRrA,grid3_img13.jpg,0.8873884910350875,1,train
3,40.10332800000001,-6.639495599999999,CAoSLEFGMVFpcE1kdzlCdkNiV041dDAxTUtvMEZyTXR1akE4TE5BTFl6WFQtMnYy,grid3_img14.jpg,25.93635278858056,0,test
3,40.15638359043368,-6.614315135775987,QF7CXYC-VIzczOvCvPSqBQ,grid3_img15.jpg,1.4111288466146363,1,train
3,40.90520480301842,-6.138783007949632,5GdSjkWtEtwsBV_rFZt3ng,grid3_img16.jpg,1.5345119347752152,1,validation
3,40.7994848534836,-6.218590273944589,x91ulsCffSeItApX664OLg,grid3_img17.jpg,0.7785812237100493,1,test
3,40.996792979244006,-6.1445079690466775,7GMSNhV0hEgD5gpS_z9dCg,grid3_img18.jpg,1.9741425215632675,1,train
3,41.89469039999999,-7.8717586,CAoSLEFGMVFpcE9pNTRmakI0bWkyWngwS096X3dWT01ZbzNNcXJlTEtnanNXWndw,grid3_img19.jpg,22.85142578877705,0,train
3,40.39293244921093,-6.768269987158791,pLiJ0DEX4wgr14qzDtbKGw,grid3_img20.jpg,1.6883845766965389,1,train
3,40.07235768860134,-6.1749279859669866,IDxVeFvK6Ic48cOgvrHonw,grid3_img21.jpg,1.100598450824261,1,train
3,41.80386806424148,-6.250137208622153,ODXZv7ea2KlkDEMwvgF-0g,grid3_img22.jpg,1.4179674821674118,1,test
3,41.286870799999996,-6.3321242,CAoSLEFGMVFpcE1taXZORHpKS1NveW9QU2c2Q2pqcnpzVTdPeFdWUkU3VkYzbnhy,grid3_img23.jpg,24.42594662492311,0,train
3,41.139476149766395,-6.239379091730832,f8dgVSWnX1N0BvrB49m5VA,grid3_img24.jpg,1.0282047012043931,1,validation
3,40.17456817017377,-6.624329480346755,ExuhG1ee1YR8JEnWZlw9-A,grid3_img25.jpg,1.9285898834614408,1,train
3,41.97697300617719,-6.556333190117598,eN468aabHq2E5uakkZ6rtg,grid3_img26.jpg,1.5873990195523495,1,validation
